Naziv,Cijena,Link,Izvor
Lenovo 83J6000DRM,935.0,https://pc-gamer.me/p/Lenovo-83J6000DRM--111320,PC-Gamer
Asus TUF Gaming A15 FA506NC-HN012,939.0,https://pc-gamer.me/p/Asus-TUF-Gaming-A15-FA506NC-HN012--112346,PC-Gamer
HP Victus Gaming Laptop 15-fa1056nn i5-12450H/512GB/16GB/15.6,949.1,https://pc-gamer.me/p/HP-Victus-Gaming-Laptop-15-fa1056nn-i5-12450H-512GB-16GB-15-6--111950,PC-Gamer
Dell Latitude 3450 i5-1335U/16GB DDR5/512GB/14,949.1,https://pc-gamer.me/p/Dell-Latitude-3450-i5-1335U-16GB-DDR5-512GB-14--110310,PC-Gamer
Lenovo 83KX004YYA,955.5,https://pc-gamer.me/p/Lenovo-83KX004YYA--113150,PC-Gamer
HP ProBook 460 G11,962.0,https://pc-gamer.me/p/HP-ProBook-460-G11--103938,PC-Gamer
DELL Latitude 3450 14 inch FHD i5-1335U 8GB 512GB SSD B,962.0,https://pc-gamer.me/p/DELL-Latitude-3450-14-inch-FHD-i5-1335U-8GB-512GB-SSD-B--106411,PC-Gamer
DELL Latitude 3550 15.6 inch FHD i5-1335U 8GB 512GB SSD,962.0,https://pc-gamer.me/p/DELL-Latitude-3550-15-6-inch-FHD-i5-1335U-8GB-512GB-SSD--110284,PC-Gamer
ACER Nitro 5 AN515,981.0,https://pc-gamer.me/p/ACER-Nitro-5-AN515--87592,PC-Gamer
Dell Latitude 3550/i5-1335U/16GB DDR5/512GB/15.6,987.6,https://pc-gamer.me/p/Dell-Latitude-3550-i5-1335U-16GB-DDR5-512GB-15-6--110312,PC-Gamer
ACER Nitro V 15 ANV15-51-52ZL 15.6,999.2,https://pc-gamer.me/p/ACER-Nitro-V-15-ANV15-51-52ZL-15-6--100678,PC-Gamer
Asus NB B2502CBA-BQ0383 15.6,1005.0,https://pc-gamer.me/p/Asus-NB-B2502CBA-BQ0383-15-6--93299,PC-Gamer
"Lenovo ThinkPad E16 Gen 2 Ultra5 125U/16GB DDR5/512GB/16"" WUXGA IPS/BacklitUK/NoOS/Black",1012.0,https://pc-gamer.me/p/Lenovo-ThinkPad-E16-Gen-2-Ultra5-125U-16GB-DDR5-512GB-16-WUXGA-IPS-BacklitUK-NoOS-Black--107355,PC-Gamer
"Lenovo LOQ 15IAX9  i5-12450HX/512GB/24GB/RTX 4050 6GB/15.6"" FHD/bcklYU/NoOS/LunaGrey",1013.3,https://pc-gamer.me/p/Lenovo-LOQ-15IAX9-i5-12450HX-512GB-24GB-RTX-4050-6GB-15-6-FHD-bcklYU-NoOS-LunaGrey--113350,PC-Gamer
HP ProBook 455 G10 R7-7730U,1025.0,https://pc-gamer.me/p/HP-ProBook-455-G10-R7-7730U--109722,PC-Gamer
HP Victus Gaming 16-r0026nm,1026.1,https://pc-gamer.me/p/HP-Victus-Gaming-16-r0026nm--99861,PC-Gamer
Lenovo LOQ 15IAX9 i5-12600HX/24GB DDR5/512GB/RTX4050/FHD IPS 144Hz,1029.0,https://pc-gamer.me/p/Lenovo-LOQ-15IAX9-i5-12600HX-24GB-DDR5-512GB-RTX4050-FHD-IPS-144Hz--110254,PC-Gamer
HP Victus Gaming Laptop 15-fa0053nm i5-12450H/16GB DDR4/512GB/FHD 144hz/ RTX3050/Shiny silve,1038.9,https://pc-gamer.me/p/HP-Victus-Gaming-Laptop-15-fa0053nm-i5-12450H-16GB-DDR4-512GB-FHD-144hz-RTX3050-Shiny-silve--112363,PC-Gamer
"Lenovo Yoga 7 2-in-1 14ILL10 Ultra 5 226V/512GB/16GB/IntelArc/Copilot+/14"" OLED/bcYU/LunaGrey/NoOS",1038.9,https://pc-gamer.me/p/Lenovo-Yoga-7-2-in-1-14ILL10-Ultra-5-226V-512GB-16GB-IntelArc-Copilot-14-OLED-bcYU-LunaGrey-NoOS--113360,PC-Gamer
Lenovo 83J00033YA,1047.9,https://pc-gamer.me/p/Lenovo-83J00033YA--113144,PC-Gamer
Acer Nitro ANV15-41-R1MY,1063.3,https://pc-gamer.me/p/Acer-Nitro-ANV15-41-R1MY--98564,PC-Gamer
Lenovo Think ThinkPad E14 Gen6 21M70042CX,1071.0,https://pc-gamer.me/p/Lenovo-Think-ThinkPad-E14-Gen6-21M70042CX--107822,PC-Gamer
